"Contig_Name","SNP_Position","goTerm","CC","BP","MF","keywords","ID"
"4744125",301,"GO:0005901 // GO:0005737 // GO:0005654 // GO:0005886 // GO:0019902 // GO:0019901 // GO:0030291 // GO:0005173 // GO:0000186 // GO:0007411 // GO:0007173 // GO:0038095 // GO:0008543 // GO:0000188 // GO:0045087 // GO:0008286 // GO:0000165 // GO:0010801 // GO:0010923 // GO:0048011 // GO:0043517 // GO:0007265 // GO:0090311 // GO:0007264 // GO:0048010","activation of MAPKK activity (GO:0000186);axon guidance (GO:0007411);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);fibroblast growth factor receptor signaling pathway (GO:0008543);inactivation of MAPK activity (GO:0000188);innate immune response (GO:0045087);insulin receptor signaling pathway (GO:0008286);MAPK cascade (GO:0000165);negative regulation of peptidyl-threonine phosphorylation (GO:0010801);negative regulation of phosphatase activity (GO:0010923);neurotrophin TRK receptor signaling pathway (GO:0048011);positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517);Ras protein signal transduction (GO:0007265);regulation of protein deacetylation (GO:0090311);small GTPase mediated signal transduction (GO:0007264);vascular endothelial growth factor receptor signaling pathway (GO:0048010);","phosphatase binding (GO:0019902);protein kinase binding (GO:0019901);protein serine/threonine kinase inhibitor activity (GO:0030291);stem cell factor receptor binding (GO:0005173);","caveola (GO:0005901);cytoplasm (GO:0005737);nucleoplasm (GO:0005654);plasma membrane (GO:0005886);","3D-structure;Acetylation;Cell membrane;Complete proteome;Disease mutation;Membrane;Nucleus;Phosphoprotein;Reference proteome.;","4744125_301"
"4744479",411,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;","4744479_411"
"4744479",575,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;","4744479_575"
"4744479",676,"GO:0012505 // GO:0016021 // GO:0005886 // GO:0004872 // GO:0002250 // GO:0008283 // GO:0002260 // GO:0007275 // GO:0007165 // GO:0033209","adaptive immune response (GO:0002250);cell proliferation (GO:0008283);lymphocyte homeostasis (GO:0002260);multicellular organismal development (GO:0007275);signal transduction (GO:0007165);tumor necrosis factor-mediated signaling pathway (GO:0033209);","receptor activity (GO:0004872);","endomembrane system (GO:0012505);integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Chromosomal rearrangement;Complete proteome;Disulfide bond;Immunity;Membrane;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix.;","4744479_676"
"4744505",819,"GO:0016021 // GO:0004872 // GO:0007155","cell adhesion (GO:0007155);","receptor activity (GO:0004872);","integral component of membrane (GO:0016021);","Alternative splicing;Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4744505_819"
"4745371",208,"GO:0070062 // GO:0005794 // GO:0032580 // GO:0000139 // GO:0005795 // GO:0030173 // GO:0016020 // GO:0048471 // GO:0030246 // GO:0030145 // GO:0004653 // GO:0044267 // GO:0002378 // GO:0016266 // GO:0043687 // GO:0006493 // GO:0018242 // GO:0018243","cellular protein metabolic process (GO:0044267);immunoglobulin biosynthetic process (GO:0002378);O-glycan processing (GO:0016266);post-translational protein modification (GO:0043687);protein O-linked glycosylation (GO:0006493);protein O-linked glycosylation via serine (GO:0018242);protein O-linked glycosylation via threonine (GO:0018243);","carbohydrate binding (GO:0030246);manganese ion binding (GO:0030145);polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653);","extracellular exosome (GO:0070062);Golgi apparatus (GO:0005794);Golgi cisterna membrane (GO:0032580);Golgi membrane (GO:0000139);Golgi stack (GO:0005795);integral component of Golgi membrane (GO:0030173);membrane (GO:0016020);perinuclear region of cytoplasm (GO:0048471);","3D-structure;Alternative splicing;Complete proteome;Direct protein sequencing;Disulfide bond;Glycosyltransferase;Golgi apparatus;Lectin;Manganese;Membrane;Metal-binding;Polymorphism;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix.;","4745371_208"
"4746391",772,"GO:0030673 // GO:0009986 // GO:0070062 // GO:0016021 // GO:0008046 // GO:0042802 // GO:0061364 // GO:0007411 // GO:0016199 // GO:0007420 // GO:0032870 // GO:0007417 // GO:0007156 // GO:0001656 // GO:0050925 // GO:0051964 // GO:0021891 // GO:0050772 // GO:0031290 // GO:0001657","apoptotic process involved in luteolysis (GO:0061364);axon guidance (GO:0007411);axon midline choice point recognition (GO:0016199);brain development (GO:0007420);cellular response to hormone stimulus (GO:0032870);central nervous system development (GO:0007417);homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156);metanephros development (GO:0001656);negative regulation of negative chemotaxis (GO:0050925);negative regulation of synapse assembly (GO:0051964);olfactory bulb interneuron development (GO:0021891);positive regulation of axonogenesis (GO:0050772);retinal ganglion cell axon guidance (GO:0031290);ureteric bud development (GO:0001657);","axon guidance receptor activity (GO:0008046);identical protein binding (GO:0042802);","axolemma (GO:0030673);cell surface (GO:0009986);extracellular exosome (GO:0070062);integral component of membrane (GO:0016021);","3D-structure;Alternative splicing;Chemotaxis;Chromosomal rearrangement;Complete proteome;Developmental protein;Differentiation;Disease mutation;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4746391_772"
"4746597",338,"GO:0005813 // GO:0005666 // GO:0043231 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0051607 // GO:0045087 // GO:0006139 // GO:0006383 // GO:0006384","defense response to virus (GO:0051607);innate immune response (GO:0045087);nucleobase-containing compound metabolic process (GO:0006139);transcription from RNA polymerase III promoter (GO:0006383);transcription initiation from RNA polymerase III promoter (GO:0006384);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);","centrosome (GO:0005813);DNA-directed RNA polymerase III complex (GO:0005666);intracellular membrane-bounded organelle (GO:0043231);nucleoplasm (GO:0005654);","Antiviral defense;Complete proteome;DNA-directed RNA polymerase;Immunity;Innate immunity;Nucleus;Reference proteome;Transcription.;","4746597_338"
"4746597",920,"GO:0005813 // GO:0005666 // GO:0043231 // GO:0005654 // GO:0003677 // GO:0003899 // GO:0051607 // GO:0045087 // GO:0006139 // GO:0006383 // GO:0006384","defense response to virus (GO:0051607);innate immune response (GO:0045087);nucleobase-containing compound metabolic process (GO:0006139);transcription from RNA polymerase III promoter (GO:0006383);transcription initiation from RNA polymerase III promoter (GO:0006384);","DNA binding (GO:0003677);DNA-directed RNA polymerase activity (GO:0003899);","centrosome (GO:0005813);DNA-directed RNA polymerase III complex (GO:0005666);intracellular membrane-bounded organelle (GO:0043231);nucleoplasm (GO:0005654);","Antiviral defense;Complete proteome;DNA-directed RNA polymerase;Immunity;Innate immunity;Nucleus;Reference proteome;Transcription.;","4746597_920"
"4747169",527,"GO:0016021 // GO:0005886 // GO:0007155 // GO:0040008","cell adhesion (GO:0007155);regulation of growth (GO:0040008);","No_GOMF","integral component of membrane (GO:0016021);plasma membrane (GO:0005886);","Cell adhesion;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Growth regulation;Immunoglobulin domain;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;","4747169_527"
"4747191",247,"GO:0005737 // GO:0005856 // GO:0012505 // GO:0016020 // GO:0005634 // GO:0005524 // GO:0020037 // GO:0042393 // GO:0035401 // GO:0004715 // GO:0004713 // GO:0042977 // GO:0002250 // GO:0019221 // GO:0030218 // GO:0035409 // GO:0045087 // GO:0060397 // GO:0042517 // GO:0046777 // GO:0007165","activation of JAK2 kinase activity (GO:0042977);adaptive immune response (GO:0002250);cytokine-mediated signaling pathway (GO:0019221);erythrocyte differentiation (GO:0030218);histone H3-Y41 phosphorylation (GO:0035409);innate immune response (GO:0045087);JAK-STAT cascade involved in growth hormone signaling pathway (GO:0060397);positive regulation of tyrosine phosphorylation of Stat3 protein (GO:0042517);protein autophosphorylation (GO:0046777);signal transduction (GO:0007165);","ATP binding (GO:0005524);heme binding (GO:0020037);histone binding (GO:0042393);histone kinase activity (H3-Y41 specific) (GO:0035401);non-membrane spanning protein tyrosine kinase activity (GO:0004715);protein tyrosine kinase activity (GO:0004713);","cytoplasm (GO:0005737);cytoskeleton (GO:0005856);endomembrane system (GO:0012505);membrane (GO:0016020);nucleus (GO:0005634);","Adaptive immunity;ATP-binding;Chromatin regulator;Complete proteome;Cytoplasm;Immunity;Innate immunity;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;SH2 domain;Transferase;Tyrosine-protein kinase.;","4747191_247"
"4747237",530,"GO:0005615 // GO:0008009 // GO:0045236 // GO:0060326 // GO:0070098 // GO:0007186 // GO:0006955 // GO:0006954 // GO:0051781 // GO:0002690 // GO:0042127 // GO:0032496","cell chemotaxis (GO:0060326);chemokine-mediated signaling pathway (GO:0070098);G-protein coupled receptor signaling pathway (GO:0007186);immune response (GO:0006955);inflammatory response (GO:0006954);positive regulation of cell division (GO:0051781);positive regulation of leukocyte chemotaxis (GO:0002690);regulation of cell proliferation (GO:0042127);response to lipopolysaccharide (GO:0032496);","chemokine activity (GO:0008009);CXCR chemokine receptor binding (GO:0045236);","extracellular space (GO:0005615);","Chemotaxis;Complete proteome;Cytokine;Direct protein sequencing;Disulfide bond;Growth factor;Mitogen;Reference proteome;Secreted;Signal.;","4747237_530"
"4747237",950,"GO:0005615 // GO:0008009 // GO:0045236 // GO:0060326 // GO:0070098 // GO:0007186 // GO:0006955 // GO:0006954 // GO:0051781 // GO:0002690 // GO:0042127 // GO:0032496","cell chemotaxis (GO:0060326);chemokine-mediated signaling pathway (GO:0070098);G-protein coupled receptor signaling pathway (GO:0007186);immune response (GO:0006955);inflammatory response (GO:0006954);positive regulation of cell division (GO:0051781);positive regulation of leukocyte chemotaxis (GO:0002690);regulation of cell proliferation (GO:0042127);response to lipopolysaccharide (GO:0032496);","chemokine activity (GO:0008009);CXCR chemokine receptor binding (GO:0045236);","extracellular space (GO:0005615);","Chemotaxis;Complete proteome;Cytokine;Direct protein sequencing;Disulfide bond;Growth factor;Mitogen;Reference proteome;Secreted;Signal.;","4747237_950"
"4749133",658,"GO:0005938 // GO:0005789 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0031095 // GO:0043235 // GO:0033017 // GO:0015085 // GO:0005220 // GO:0035091 // GO:0007202 // GO:0007596 // GO:0071320 // GO:0071361 // GO:0006112 // GO:0007173 // GO:0038095 // GO:0038096 // GO:0008543 // GO:0045087 // GO:0048016 // GO:0048011 // GO:0030168 // GO:0050796 // GO:0001666 // GO:0007165 // GO:0044281 // GO:0002223 // GO:0006810 // GO:0048010","activation of phospholipase C activity (GO:0007202);blood coagulation (GO:0007596);cellular response to cAMP (GO:0071320);cellular response to ethanol (GO:0071361);energy reserve metabolic process (GO:0006112);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);fibroblast growth factor receptor signaling pathway (GO:0008543);innate immune response (GO:0045087);inositol phosphate-mediated signaling (GO:0048016);neurotrophin TRK receptor signaling pathway (GO:0048011);platelet activation (GO:0030168);regulation of insulin secretion (GO:0050796);response to hypoxia (GO:0001666);signal transduction (GO:0007165);small molecule metabolic process (GO:0044281);stimulatory C-type lectin receptor signaling pathway (GO:0002223);transport (GO:0006810);vascular endothelial growth factor receptor signaling pathway (GO:0048010);","calcium ion transmembrane transporter activity (GO:0015085);inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity (GO:0005220);phosphatidylinositol binding (GO:0035091);","cell cortex (GO:0005938);endoplasmic reticulum membrane (GO:0005789);integral component of membrane (GO:0016021);membrane (GO:0016020);plasma membrane (GO:0005886);platelet dense tubular network membrane (GO:0031095);receptor complex (GO:0043235);sarcoplasmic reticulum membrane (GO:0033017);","Alternative splicing;Calcium;Calcium channel;Calcium transport;Complete proteome;Disease mutation;Endoplasmic reticulum;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport.;","4749133_658"
"4749347",439,"GO:0005829 // GO:0005789 // GO:0005794 // GO:0000139 // GO:0042629 // GO:0016020 // GO:0005886 // GO:0005509 // GO:0019992 // GO:0005085 // GO:0008289 // GO:0031210 // GO:0001786 // GO:0042803 // GO:0005088 // GO:0008270 // GO:0090630 // GO:0000186 // GO:0007411 // GO:0007596 // GO:0001816 // GO:0007173 // GO:0038095 // GO:0008543 // GO:0002437 // GO:0045087 // GO:0008286 // GO:0000165 // GO:0043303 // GO:0048011 // GO:0030168 // GO:0070374 // GO:0032725 // GO:0043547 // GO:1902715 // GO:0046330 // GO:0043406 // GO:0032825 // GO:0045954 // GO:0001934 // GO:0046579 // GO:0033089 // GO:0032760 // GO:0051259 // GO:0007265 // GO:0070372 // GO:0014066 // GO:0032252 // GO:0007165 // GO:0007264 // GO:0048010 // GO:0047496","activation of GTPase activity (GO:0090630);activation of MAPKK activity (GO:0000186);axon guidance (GO:0007411);blood coagulation (GO:0007596);cytokine production (GO:0001816);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-epsilon receptor signaling pathway (GO:0038095);fibroblast growth factor receptor signaling pathway (GO:0008543);inflammatory response to antigenic stimulus (GO:0002437);innate immune response (GO:0045087);insulin receptor signaling pathway (GO:0008286);MAPK cascade (GO:0000165);mast cell degranulation (GO:0043303);neurotrophin TRK receptor signaling pathway (GO:0048011);platelet activation (GO:0030168);positive regulation of ERK1 and ERK2 cascade (GO:0070374);positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725);positive regulation of GTPase activity (GO:0043547);positive regulation of interferon-gamma secretion (GO:1902715);positive regulation of JNK cascade (GO:0046330);positive regulation of MAP kinase activity (GO:0043406);positive regulation of natural killer cell differentiation (GO:0032825);positive regulation of natural killer cell mediated cytotoxicity (GO:0045954);positive regulation of protein phosphorylation (GO:0001934);positive regulation of Ras protein signal transduction (GO:0046579);positive regulation of T cell differentiation in thymus (GO:0033089);positive regulation of tumor necrosis factor production (GO:0032760);protein oligomerization (GO:0051259);Ras protein signal transduction (GO:0007265);regulation of ERK1 and ERK2 cascade (GO:0070372);regulation of phosphatidylinositol 3-kinase signaling (GO:0014066);secretory granule localization (GO:0032252);signal transduction (GO:0007165);small GTPase mediated signal transduction (GO:0007264);vascular endothelial growth factor receptor signaling pathway (GO:0048010);vesicle transport along microtubule (GO:0047496);","calcium ion binding (GO:0005509);diacylglycerol binding (GO:0019992);guanyl-nucleotide exchange factor activity (GO:0005085);lipid binding (GO:0008289);phosphatidylcholine binding (GO:0031210);phosphatidylserine binding (GO:0001786);protein homodimerization activity (GO:0042803);Ras guanyl-nucleotide exchange factor activity (GO:0005088);zinc ion binding (GO:0008270);","cytosol (GO:0005829);endoplasmic reticulum membrane (GO:0005789);Golgi apparatus (GO:0005794);Golgi membrane (GO:0000139);mast cell granule (GO:0042629);membrane (GO:0016020);plasma membrane (GO:0005886);","3D-structure;Alternative splicing;Calcium;Cell membrane;Coiled coil;Complete proteome;Cytoplasm;Differentiation;Endoplasmic reticulum;Golgi apparatus;Guanine-nucleotide releasing factor;Membrane;Metal-binding;Phosphoprotein;Reference proteome;Repeat;Systemic lupus erythematosus;Zinc;Zinc-finger.;","4749347_439"
"4750253",392,"GO:0016021 // GO:0004872 // GO:0007155","cell adhesion (GO:0007155);","receptor activity (GO:0004872);","integral component of membrane (GO:0016021);","Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Repeat;Signal;Transmembrane;Transmembrane helix.;","4750253_392"
"4750253",953,"GO:0016021 // GO:0004872 // GO:0007155","cell adhesion (GO:0007155);","receptor activity (GO:0004872);","integral component of membrane (GO:0016021);","Cell adhesion;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Repeat;Signal;Transmembrane;Transmembrane helix.;","4750253_953"
"4750273",790,"GO:0005737 // GO:0033588 // GO:0000123 // GO:0005730 // GO:0008023 // GO:0008607 // GO:0004871 // GO:0006325 // GO:0006955 // GO:0030335 // GO:0006461 // GO:0006468 // GO:0045859 // GO:0006357 // GO:0007165 // GO:0006368","chromatin organization (GO:0006325);immune response (GO:0006955);positive regulation of cell migration (GO:0030335);protein complex assembly (GO:0006461);protein phosphorylation (GO:0006468);regulation of protein kinase activity (GO:0045859);regulation of transcription from RNA polymerase II promoter (GO:0006357);signal transduction (GO:0007165);transcription elongation from RNA polymerase II promoter (GO:0006368);","phosphorylase kinase regulator activity (GO:0008607);signal transducer activity (GO:0004871);","cytoplasm (GO:0005737);Elongator holoenzyme complex (GO:0033588);histone acetyltransferase complex (GO:0000123);nucleolus (GO:0005730);transcription elongation factor complex (GO:0008023);","3D-structure;Complete proteome;Cytoplasm;Direct protein sequencing;Disease mutation;Neurodegeneration;Neuropathy;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation.;","4750273_790"
"4751237",394,"GO:0005884 // GO:0005901 // GO:0005737 // GO:0005829 // GO:0070062 // GO:0031234 // GO:0005770 // GO:0005764 // GO:0005743 // GO:0005739 // GO:0005634 // GO:0048471 // GO:0005886 // GO:0032587 // GO:0005524 // GO:0019899 // GO:0046875 // GO:0070851 // GO:0020037 // GO:0051427 // GO:0005178 // GO:0044325 // GO:0016301 // GO:0019900 // GO:0004715 // GO:0051219 // GO:0004672 // GO:0004713 // GO:0005102 // GO:0097110 // GO:0042169 // GO:0005070 // GO:0086098 // GO:0007411 // GO:0007596 // GO:0045453 // GO:0060444 // GO:0007155 // GO:0007049 // GO:0030154 // GO:0071498 // GO:0071375 // GO:0036120 // GO:0071393 // GO:0034614 // GO:0048013 // GO:0007173 // GO:0038096 // GO:0008543 // GO:0030900 // GO:0045087 // GO:0007229 // GO:0035556 // GO:0050900 // GO:0061024 // GO:2000811 // GO:0043066 // GO:0043154 // GO:2001237 // GO:0051895 // GO:2001243 // GO:0051902 // GO:0032463 // GO:0048011 // GO:0048477 // GO:0036035 // GO:0038083 // GO:0018108 // GO:0030168 // GO:0090263 // GO:0010634 // GO:0070374 // GO:0033625 // GO:2000394 // GO:0050731 // GO:0071803 // GO:0051897 // GO:0071902 // GO:0050847 // GO:0046777 // GO:0031648 // GO:0007265 // GO:0045124 // GO:2001286 // GO:0051726 // GO:0060491 // GO:0042127 // GO:0022407 // GO:2000641 // GO:0010632 // GO:0033146 // GO:0071801 // GO:0043393 // GO:0043114 // GO:0070555 // GO:0007172 // GO:0007165 // GO:0007264 // GO:0002223 // GO:0043149 // GO:0034446 // GO:0031295 // GO:0007179 // GO:0060065 // GO:0048010 // GO:0016032","angiotensin-activated signaling pathway involved in heart process (GO:0086098);axon guidance (GO:0007411);blood coagulation (GO:0007596);bone resorption (GO:0045453);branching involved in mammary gland duct morphogenesis (GO:0060444);cell adhesion (GO:0007155);cell cycle (GO:0007049);cell differentiation (GO:0030154);cellular response to fluid shear stress (GO:0071498);cellular response to peptide hormone stimulus (GO:0071375);cellular response to platelet-derived growth factor stimulus (GO:0036120);cellular response to progesterone stimulus (GO:0071393);cellular response to reactive oxygen species (GO:0034614);ephrin receptor signaling pathway (GO:0048013);epidermal growth factor receptor signaling pathway (GO:0007173);Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096);fibroblast growth factor receptor signaling pathway (GO:0008543);forebrain development (GO:0030900);innate immune response (GO:0045087);integrin-mediated signaling pathway (GO:0007229);intracellular signal transduction (GO:0035556);leukocyte migration (GO:0050900);membrane organization (GO:0061024);negative regulation of anoikis (GO:2000811);negative regulation of apoptotic process (GO:0043066);negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154);negative regulation of extrinsic apoptotic signaling pathway (GO:2001237);negative regulation of focal adhesion assembly (GO:0051895);negative regulation of intrinsic apoptotic signaling pathway (GO:2001243);negative regulation of mitochondrial depolarization (GO:0051902);negative regulation of protein homooligomerization (GO:0032463);neurotrophin TRK receptor signaling pathway (GO:0048011);oogenesis (GO:0048477);osteoclast development (GO:0036035);peptidyl-tyrosine autophosphorylation (GO:0038083);peptidyl-tyrosine phosphorylation (GO:0018108);platelet activation (GO:0030168);positive regulation of canonical Wnt signaling pathway (GO:0090263);positive regulation of epithelial cell migration (GO:0010634);positive regulation of ERK1 and ERK2 cascade (GO:0070374);positive regulation of integrin activation (GO:0033625);positive regulation of lamellipodium morphogenesis (GO:2000394);positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731);positive regulation of podosome assembly (GO:0071803);positive regulation of protein kinase B signaling (GO:0051897);positive regulation of protein serine/threonine kinase activity (GO:0071902);progesterone receptor signaling pathway (GO:0050847);protein autophosphorylation (GO:0046777);protein destabilization (GO:0031648);Ras protein signal transduction (GO:0007265);regulation of bone resorption (GO:0045124);regulation of caveolin-mediated endocytosis (GO:2001286);regulation of cell cycle (GO:0051726);regulation of cell projection assembly (GO:0060491);regulation of cell proliferation (GO:0042127);regulation of cell-cell adhesion (GO:0022407);regulation of early endosome to late endosome transport (GO:2000641);regulation of epithelial cell migration (GO:0010632);regulation of intracellular estrogen receptor signaling pathway (GO:0033146);regulation of podosome assembly (GO:0071801);regulation of protein binding (GO:0043393);regulation of vascular permeability (GO:0043114);response to interleukin-1 (GO:0070555);signal complex assembly (GO:0007172);signal transduction (GO:0007165);small GTPase mediated signal transduction (GO:0007264);stimulatory C-type lectin receptor signaling pathway (GO:0002223);stress fiber assembly (GO:0043149);substrate adhesion-dependent cell spreading (GO:0034446);T cell costimulation (GO:0031295);transforming growth factor beta receptor signaling pathway (GO:0007179);uterus development (GO:0060065);vascular endothelial growth factor receptor signaling pathway (GO:0048010);viral process (GO:0016032);","ATP binding (GO:0005524);enzyme binding (GO:0019899);ephrin receptor binding (GO:0046875);growth factor receptor binding (GO:0070851);heme binding (GO:0020037);hormone receptor binding (GO:0051427);integrin binding (GO:0005178);ion channel binding (GO:0044325);kinase activity (GO:0016301);kinase binding (GO:0019900);non-membrane spanning protein tyrosine kinase activity (GO:0004715);phosphoprotein binding (GO:0051219);protein kinase activity (GO:0004672);protein tyrosine kinase activity (GO:0004713);receptor binding (GO:0005102);scaffold protein binding (GO:0097110);SH2 domain binding (GO:0042169);SH3/SH2 adaptor activity (GO:0005070);","actin filament (GO:0005884);caveola (GO:0005901);cytoplasm (GO:0005737);cytosol (GO:0005829);extracellular exosome (GO:0070062);extrinsic component of cytoplasmic side of plasma membrane (GO:0031234);late endosome (GO:0005770);lysosome (GO:0005764);mitochondrial inner membrane (GO:0005743);mitochondrion (GO:0005739);nucleus (GO:0005634);perinuclear region of cytoplasm (GO:0048471);plasma membrane (GO:0005886);ruffle membrane (GO:0032587);","3D-structure;Alternative splicing;ATP-binding;Cell adhesion;Cell cycle;Cell membrane;Complete proteome;Cytoplasm;Cytoskeleton;Host-virus interaction;Immunity;Kinase;Lipoprotein;Membrane;Mitochondrion;Mitochondrion inner membrane;Myristate;Nucleotide-binding;Nucleus;Phosphoprotein;Polymorphism;Proto-oncogene;Reference proteome;SH2 domain;SH3 domain;Transferase;Tyrosine-protein kinase;Ubl conjugation.;","4751237_394"
